2025-05-12 16:29:01,295 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:03,416 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:05,504 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:07,658 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:09,731 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:11,785 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:13,870 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:15,990 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:18,045 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:20,128 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:22,206 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:24,304 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:26,379 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:28,437 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:30,644 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:32,713 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:34,921 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:36,992 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:39,102 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:41,195 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:43,354 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:45,425 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:47,489 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:49,707 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:51,764 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:53,914 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:56,078 - Status check - active: True, should_run: True, app: running
2025-05-12 16:29:58,198 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:00,362 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:02,467 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:04,707 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:06,788 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:07,473 - App error: Unknown property display
2025-05-12 16:30:07,474 - App error: Unknown property display
2025-05-12 16:30:07,475 - App error: Unknown property display
2025-05-12 16:30:07,479 - App error: Unknown property display
2025-05-12 16:30:07,480 - App error: Unknown property display
2025-05-12 16:30:07,480 - App error: Unknown property display
2025-05-12 16:30:07,482 - App error: Unknown property display
2025-05-12 16:30:07,483 - App error: Unknown property display
2025-05-12 16:30:07,483 - App error: Unknown property display
2025-05-12 16:30:09,016 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:11,132 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:13,243 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:15,347 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:17,625 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:19,992 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:22,092 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:24,290 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:26,678 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:28,909 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:31,029 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:33,122 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:35,272 - Status check - active: True, should_run: True, app: running
2025-05-12 16:30:37,338 - Status check - active: True, should_run: False, app: running
2025-05-12 16:30:37,338 - Stopping app...
2025-05-12 16:30:37,338 - Last app output before stopping:
2025-05-12 16:30:37,338 - 2025-05-12 16:09:21,859 - Main window displayed
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,339 - Unknown property display
2025-05-12 16:30:37,372 - App stopped successfully
2025-05-12 16:30:40,991 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:43,072 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:45,154 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:47,365 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:49,501 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:51,598 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:53,799 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:56,029 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:30:58,265 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:00,443 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:02,666 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:04,853 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:06,925 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:09,107 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:11,227 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:13,348 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:15,719 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:17,879 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:19,988 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:22,140 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:24,443 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:26,883 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:28,995 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:31,581 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:33,818 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:35,922 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:38,243 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:40,337 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:42,465 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:44,543 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:46,617 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:48,800 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:51,891 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:53,979 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:56,143 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:31:58,216 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:00,306 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:02,453 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:04,545 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:07,050 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:09,083 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:11,387 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:13,597 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:15,723 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:17,796 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:20,103 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:22,153 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:24,225 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:27,032 - Status check - active: True, should_run: False, app: not running
2025-05-12 16:32:29,150 - Status check - active: True, should_run: False, app: not running
